,Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,total_matches,total_runs,centuries,half_centuries,total_fours,total_sixes,total_dotballs,total_balls_faced,total_ducks,best_score,total_outs,total_overs_bowled,total_wickets,total_runs_given,highest_runs_given,total_orangecaps,total_purplecaps,total_player_of_series,batting_average,strike_rate
0,1,SC Ganguly,8-Jul-72,Left_Hand,Right-arm medium,India,59,1349,0,7,137,42,662,1326,7,91,38,46,8,359,39,0,0,0,35.5,101.73453996983409
1,2,BB McCullum,27-Sep-81,Right_Hand,Right-arm medium,New Zealand,92,2435,2,11,248,106,893,1954,5,158,76,0,0,0,0,0,0,0,32.03947368421053,124.61617195496417
2,3,RT Ponting,19-Dec-74,Right_Hand,Right-arm medium,Australia,10,91,0,0,5,2,69,129,4,28,4,0,0,0,0,0,0,0,22.75,70.54263565891473
3,4,DJ Hussey,15-Jul-77,Right_Hand,Right-arm offbreak,Australia,64,1322,0,5,90,60,423,1099,8,71,32,53,5,467,36,0,0,0,41.3125,120.29117379435851
4,5,Mohammad Hafeez,17-Oct-80,Right_Hand,Right-arm offbreak,Pakistan,8,64,0,0,7,2,51,84,0,16,7,10,2,61,28,0,0,0,9.142857142857142,76.19047619047619
5,6,R Dravid,11-Jan-73,Right_Hand,Right-arm offbreak,India,89,2170,0,11,268,28,819,1917,10,75,56,0,0,0,0,0,0,0,38.75,113.19770474700051
6,7,W Jaffer,16-Feb-78,Right_Hand,Right-arm offbreak,India,8,130,0,1,14,3,64,129,1,50,8,0,0,0,0,0,0,0,16.25,100.7751937984496
7,8,V Kohli,5-Nov-88,Right_Hand,Right-arm medium,India,138,4105,4,27,360,148,1191,3234,12,113,89,43,4,354,36,1,0,1,46.12359550561798,126.9325912183055
8,9,JH Kallis,16-Oct-75,Right_Hand,Right-arm fast-medium,South Africa,98,2427,0,17,255,44,982,2291,11,89,64,291,44,2222,50,0,0,0,37.921875,105.93627237014404
9,10,CL White,18-Aug-83,Right_Hand,Legbreak googly,Australia,47,971,0,6,76,38,274,774,6,78,19,7,1,81,22,0,0,0,51.10526315789474,125.45219638242894
10,11,MV Boucher,3-Dec-76,Right_Hand,Right-arm medium,South Africa,31,394,0,1,32,13,116,318,8,50,14,0,0,0,0,0,0,0,28.142857142857142,123.8993710691824
11,12,B Akhil,7-Oct-77,Right_Hand,Right-arm medium-fast,India,15,76,0,0,5,5,26,57,6,27,6,32,6,235,39,0,0,0,12.666666666666666,133.33333333333334
12,13,AA Noffke,30-Apr-77,Right_Hand,Right-arm fast-medium,Australia,1,9,0,0,1,0,6,12,0,9,1,4,1,35,35,0,0,0,9.0,75.0
13,14,P Kumar,2-Oct-86,Right_Hand,Right-arm medium,India,113,332,0,0,22,17,157,314,67,34,31,407,68,2966,45,0,0,0,10.709677419354838,105.73248407643312
14,15,Z Khan,7-Oct-78,Right_Hand,Left-arm fast-medium,India,88,113,0,0,11,2,65,128,70,23,11,330,75,2383,50,0,0,0,10.272727272727273,88.28125
15,16,SB Joshi,6-Jun-70,Left_Hand,Slow left-arm orthodox,India,4,6,0,0,0,0,10,16,2,3,2,10,1,82,27,0,0,0,3.0,37.5
16,17,PA Patel,9-Mar-85,Left_Hand,,India,103,1927,0,8,248,27,811,1752,13,81,75,0,0,0,0,0,0,0,25.69333333333333,109.98858447488584
17,18,ML Hayden,29-Oct-71,Left_Hand,Right-arm medium,Australia,32,1107,0,8,121,44,366,838,1,93,31,0,0,0,0,1,0,0,35.70967741935484,132.10023866348448
18,19,MEK Hussey,27-May-75,Left_Hand,Right-arm medium,Australia,59,1977,1,15,198,52,643,1648,2,116,40,0,0,0,0,1,0,0,49.425,119.9635922330097
19,20,MS Dhoni,7-Jul-81,Right_Hand,Right-arm medium,India,142,3270,0,16,236,140,810,2419,17,70,67,0,0,0,0,0,0,0,48.80597014925373,135.17982637453494
20,21,SK Raina,27-Nov-86,Left_Hand,Right-arm offbreak,India,146,4106,1,28,360,161,1081,3059,10,100,102,142,22,988,39,0,0,0,40.254901960784316,134.2268715266427
21,22,JDP Oram,28-Jul-78,Left_Hand,Right-arm fast-medium,New Zealand,18,106,0,0,6,5,50,110,8,41,8,40,9,342,51,0,0,0,13.25,96.36363636363636
22,23,S Badrinath,30-Aug-80,Right_Hand,Right-arm offbreak,India,94,1441,0,11,154,28,493,1245,35,71,37,0,0,0,0,0,0,0,38.945945945945944,115.7429718875502
23,24,K Goel,24-Dec-86,Left_Hand,Right-arm offbreak,India,22,218,0,0,17,9,129,238,7,38,15,11,0,92,25,0,0,0,14.533333333333333,91.59663865546219
24,25,JR Hopes,24-Oct-78,Right_Hand,Right-arm medium,Australia,21,417,0,4,49,11,120,314,3,71,16,60,14,539,53,0,0,0,26.0625,132.80254777070064
